Fingerprint ID,Data Partner,Data Source Acronym,Country,Person Count,Why,Care Level,EHR,Claim,Lab,Case Report Form,Survey,NLP,Death Certificate,Unknown
9aded3e1f181eebb10bb11bf624fdb68,"Centro Clínico Académico – Braga, Associação (2CA-Braga) ",2CA-Braga,PT,1070217,Encounter,Secondary,1,0,0,0,0,0,0,0
b88214ed79a6062c5ff0f2a237b46007,INCLIVA,ABUCASIS,ES,4014819,Encounter,Mixed,1,1,1,0,0,0,0,0
16155fc46c61e2684f9fdf39ca4a09fc,"The wellbeing services county of Southwest Finland, VarHa",ACI,FI,765000,Encounter,Secondary,1,0,1,0,0,0,0,0
ded05235c741462339a30ecac7d407d0,Innovative Medical Research SA,ADWH IMR,GR,600000,Encounter,Primary,1,0,0,0,0,0,0,0
39f209876f2d7cb5eccccb64426586f0,Fondazione Casa Sollievo della Sofferenza,aGMS,IT,2140,Disease,Secondary,1,0,0,0,0,0,0,0
caad32dbaf29a090f971402f0914e6b9,Akrivia Health,AKRDB,GB,3085560,Encounter,Secondary,1,0,0,0,0,0,0,0
7a4f231857135cf2f970f9320b5f88a8,Amsterdam UMC,AmsterdamUMCdb,NL,20109,Encounter,Secondary,1,0,1,0,0,0,0,0
9cc708c7d59c6c2c8a8a9039be7105ec,Stichting VUmc,AMYPAD PNHS,NL,3368,Disease,Mixed,0,0,0,1,0,0,0,0
942721d0dc00fe84367d3dfc576934f9,AZIENDA OSPEDALIERO UNIVERSITARIA SAN LUIGI GONZAGA,AOU-SANLUIGI,IT,184520,Encounter,Secondary,1,0,1,0,0,0,0,0
203280afc7f969f4589186389abf2cdb,University Hospital of Parma,AOUPR,IT,573205,Encounter,Secondary,1,0,0,1,0,0,0,0
9f3cee0e54ab26e39b01de1ef8d8e1c1,Azienda Ospedaliera Universitaria Integrata Verona,AOVR,IT,512000,Encounter,Secondary,1,1,1,0,0,0,0,0
680b51e92a4c0a7d742e1236e0e48b7f,Assistance Publique - Hopitaux de Marseille,AP-HM,FR,2792497,Encounter,Mixed,1,0,0,0,0,0,0,0
061257c6888e054d8019560a5f905369,APDP,APDP,PT,242000,Encounter,Secondary,1,0,0,0,0,0,0,0
08b9b357078fee8ac3bc36fed2a6164b,Azienda Ospedaliero-Universitaria di Modena,APUM,IT,3272,Disease,Mixed,1,0,1,1,0,0,0,0
6bedf8a30df7c80e9d483da2e1f550b8,Servei Català de la Salut,AQUAS - CatSalut CMBD,ES,6881752,Encounter,Secondary,1,0,0,0,0,0,0,0
a709c23ccbb95c6a9517b75d1999c91f,FONDAZIONE TOSCANA GABRIELE MONASTERIO PER LA RICERCA MEDICA E DI SANITA PUBBLICA (FTGM),ARCA,IT,464194,Encounter,Mixed,1,0,1,0,0,0,0,0
b16b2c70ee2a434f1c6ec38a0ae30d0b,ASL Roma 1,ASL Roma 1,IT,1198036,Encounter,Mixed,1,0,0,0,0,0,0,0
ea6273b254ffddd9173c0faeeb3579d5,Assuta medical centers,AssutaSurgical,IL,776538,Encounter,Secondary,1,0,0,0,1,0,0,0
2bd1b7c9eb9a0b2c7ea607bdc49d372e,ATS Bergamo,ATS-BG,IT,1300000,Population,Mixed,1,0,0,1,0,0,0,0
54c387bec141b0d7f0cd0a53af143d48,Institute of Rheumatology,ATTRA,CZ,8006,Disease,Mixed,1,0,0,1,0,0,0,0
1f1fdbc28602f9c1afe91f1e0540ab4d,Marco Massari (IRCSSE),AUSL-RE,IT,43564,Disease,Mixed,1,0,1,0,0,0,0,0
15f2a2582686859967b0c5f27093876f,Az Oostende,AZ Oostende,BE,371097,Encounter,Secondary,1,0,0,0,0,0,0,0
cb69449393e8316736bb8622163859e0,AZ Delta,AZDDB,BE,990559,Encounter,Secondary,1,0,1,0,1,1,0,0
2591d034ad514622a106907cc2e7cb76,VZW AZ Groeninge,AZG,BE,18571,Encounter,Secondary,0,0,0,0,0,1,0,0
90267c5da56724a69ad02e642ad29172,AZ Klina,AZK,BE,506770,Encounter,Secondary,1,0,0,0,0,0,0,0
94b9d4c686713c59eea4f0dec0ade41e,AZ Maria Middelares,AZMM,BE,95341,Encounter,Secondary,0,0,0,0,0,1,0,0
2b75f2d4352dfebf8a7103cc70bcbbe5,Servicio Navarro de Salud Osasunbidea (SNS-O),BARDENA,ES,1972272,Encounter,Mixed,1,0,0,0,0,0,0,0
a3561d0de114192ece978577133a3ce1,Barts Health NHS Trust,Barts,GB,2312983,Encounter,Secondary,1,0,0,0,0,0,0,0
721e2f65c9882635cc339e8441fd154d,"National Scientific Programme ""E-Health in Bulgaria""",BDR,BG,501065,Disease,Mixed,0,0,0,1,0,0,0,0
b30789fd7c0920728c341821a67ba6ee,"Agencia Española de Medicamentos y Productos Sanitarios, AEMPS",BIFAP,ES,22500000,Population,Primary,1,0,0,0,0,0,0,0
f30438c24a4811a54fd0d7d50c387946,Instituto Aragonés de Ciencias de la Salud (IACS),BIGAN,ES,2291148,Encounter,Mixed,1,0,0,0,0,0,0,0
be75506831cabd5f4c9594039d648142,Instituto de Medicina Molecular,Biobank_iMM_Reuma,PT,592,Disease,Mixed,1,0,1,0,0,0,0,0
b2fce7dbd20d057863d5a66c455e92ec,Bnai Zion Medical Research Foundation and Infrastructure Development Health Services,BZMC,IL,1068599,Encounter,Secondary,1,0,1,0,1,0,0,0
e0b6e06eab31b386c215034f3560133c,Inspire-srl,CasertaDB,IT,1302318,Population,Mixed,1,1,0,0,0,0,0,0
1cc558a55bc0d14901eeea1f499ecfff,Connected Bradford,cBradford,GB,1200677,Encounter,Mixed,1,0,0,0,0,0,0,0
948773f5fc5176df8f84f7e8128231f1,Clinical Center of Montenegro,CCME,ME,202322,Encounter,Secondary,1,0,1,0,0,0,0,0
00b3bc5be8db7aadbcf0cb13b9a7cb42,Casa di Cura Privata del Policlinico (CCPP),CCPP,IT,16218,Encounter,Mixed,1,0,0,1,0,0,0,0
8652b843c796275cd38af12b9646b764,ISMETT,cdm_ismett,IT,24269,Encounter,Secondary,1,0,0,0,0,0,0,0
58945e14e09df0fd34cde8524a9115ed,Bordeaux University Hospital,CDWbordeaux,FR,1985011,Encounter,Secondary,1,1,1,0,0,0,0,0
9705fbdee952fcedc724b550a1c347e2,Charité - Universitätsmedizin,CHA-CAN,DE,214443,Encounter,Secondary,1,0,0,0,0,0,0,0
2a1373fcf4d544b791ef69ca2e9dabcf,Charité - Universitätsmedizin,CHA-DIA,DE,60138,Encounter,Secondary,1,1,1,0,0,0,0,0
4c3da04bc323b04f7356656f79b6756e,Charité - Universitätsmedizin,CHA-IBD,DE,2471,Encounter,Secondary,1,0,0,0,0,0,0,0
0f6d53d8bffb4f5ba7a6c7938ad7afb6,"Institute of Social and Preventive Medicine, University of Bern",ChCR and SCCSS,CH,12000,Disease,Mixed,1,0,0,1,0,0,0,0
3415807c79866b079002e2f2b933db81,Clinical-hospital center Zvezdara,CHCZ,RS,515000,Encounter,Secondary,1,0,1,0,0,0,0,0
ed919437975e448b34d111cb3fb9b20d,Clinical Hospital Dubrava,CHDubrava–IN2,HR,311754,Encounter,Secondary,1,0,0,0,0,0,0,0
ab1c6ce3d46ddb6e2986c718a76e384a,Centro Hospitalar Universitário de Coimbra (CHUC),CHUC Ophtalmology,PT,31507,Encounter,Secondary,1,0,0,0,0,0,0,0
21513f072f0b2bcee3372e0c175ac608,Centre Hospitalier Universitaire de Toulouse,CHUT,FR,3059340,Encounter,Secondary,1,0,0,0,0,0,0,0
ea0b8adef1f87e75337646d361b16073,Modena Oncology Center - Azienda Ospedaliera Modena,COMNet,IT,89300,Encounter,Secondary,1,0,0,0,0,0,0,0
f7a9bbcb9d908083f88d1c00e40f1c9b,Clinical Practice Research Datalink (CPRD),CPRD AURUM,GB,47193158,Population,Primary,1,0,0,0,0,0,0,0
53ba7e0463ee61834cf1202a4797edfe,Clinical Practice Research Datalink (CPRD),CPRD HESAPC AURUM,GB,34146603,Population,Mixed,1,0,0,0,0,0,0,0
3a81c76d9e6489110e6b9caa39aa0b8b,The Norwegian Cancer Registry,CRN,NO,1156806,Disease,Secondary,0,0,0,1,0,0,0,0
d3eaf414212401dde361123720c2104a,Basilicata Cancer Registry,CROB,IT,54265,Disease,Primary,0,0,0,1,0,0,0,0
5d7ef261664fafde1b32e2e7c4658364,Krebsregister Rheinland-Pfalz,CRRLP,DE,216174,Disease,Mixed,0,0,0,1,0,0,0,0
ed4556d5a251e7caf5873b9c5987964a,CUF,CUF_CRC,PT,1485,Disease,Secondary,1,0,0,0,0,0,0,0
04c214bb6833c62b2164cdc88a983e9a,DataLoch,DataLoch,GB,414038,Disease,Secondary,1,0,1,0,0,0,1,0
530b5671d32aab8d848d03f9674e7f64,Center for Surgical Science (CSS),DCCG,DK,76849,Disease,Secondary,1,0,1,0,0,0,0,0
d8f8ba5bc233a6fc81a5a70af1e28cfe,Amsterdam UMC,DDW,NL,1834,Disease,Secondary,1,0,0,0,0,0,0,0
591f5a6c01f4a1ac41297f89da27dc83,Stockholm CREAtinine Measurements Project,DH-SCREAM,SE,3085764,Encounter,Mixed,0,1,1,0,1,0,1,0
4186319880b427fcc75dc75d84a11faa,University of Southern Denmark,DHCR,DK,99930,Population,Secondary,0,0,0,1,0,0,0,0
56e86c7ce54e2e1565606c882a6528db,DIGITAL HEALTH SOLUTIONS SA,DHS BIO,GR,2102509,Encounter,Primary,1,0,1,0,0,0,0,0
2b15d39f0fa88a12124da1dd743c2f10,German Cancer Society (DKG),DKG EDIUM,DE,8680,Disease,Mixed,1,0,0,0,1,0,0,0
f576e44bd8a3e903594f644136297bbb,German Cancer Society (DKG),DKG PCO,DE,49300,Disease,Mixed,1,0,0,0,1,0,0,0
75677f2bde5bfd717bc13f2aca212534,Hospital de Denia,DptoSalud-DENIA,ES,356723,Encounter,Mixed,1,0,0,0,0,0,0,0
1dc824775628478d885be083ef1dc8ee,"University of Ulm, ZIBMT",DPV,DE,638031,Disease,Mixed,0,0,0,1,0,0,0,0
1e25e6458557f705da9265f6163635e1,Research Institute - Hospital de la Santa Creu i Sant Pau,DW HSCSP,ES,1315128,Encounter,Mixed,1,0,0,0,0,0,0,0
5ec9dbe238b1f4b20e2b77ac81eb84d8,Primary Healthcare Center Zemun,DZ Zemun,RS,355000,Population,Primary,1,0,1,0,0,0,0,0
3837ddec6c5a5a90ece43cea71ce094c,EBMT: The European Society for Blood and Marrow Transplantation,EBMT,NL,899425,Disease,Secondary,0,0,0,1,0,0,0,0
a267a102f86edbaf46f04752de27ef62,European Clinical Research Alliance on Infectious Diseases (ECRAID),ECRAID-Base POS VAP,NL,563,Disease,Secondary,0,0,0,1,0,0,0,0
d5abf0a5f0bb06316d65ca9d3093f150,Centre Hospitalier Universitaire de Montpellier,eDOL Entrepôt de DOnnées du Languedoc,FR,1930844,Encounter,Secondary,1,0,0,0,0,0,0,0
6a283938ba725c92b4d3245db74c1b62,Fondazione IRCCS Policlinico San Matteo,ELISA,IT,437482,Encounter,Mixed,1,0,1,1,0,0,0,0
ecd52372398a143e9461f5cf47fe628a,EGAS MONIZ HEALTH ALLIANCE,EMHA ULSEDV,PT,563,Encounter,Secondary,1,0,0,0,0,0,0,0
58dee120204a8561efc2c16f6bbc680b,EGAS MONIZ HEALTH ALLIANCE,EMHA ULSGE,PT,728,Encounter,Secondary,1,0,0,0,0,0,0,0
